transaction_id,timestamp,customer_id,merchant_id,merchant_category,channel,amount_gbp,risk_score,decision,reason_code,fraud_label
1020029,2026-12-10 08:28:57,3766,7242,utilities,ecommerce,4.56,0.0950106554630926,approve,GENERAL_RISK,0
1020030,2026-12-10 08:29:32,97260,3103,utilities,ecommerce,47.97,0.0552248777677539,approve,GENERAL_RISK,0
1020031,2026-12-10 08:30:47,47765,2116,fuel,ecommerce,8.84,0.1557358186229409,review,HIGH_IP_RISK,0
1020032,2026-12-10 08:31:50,58647,652,fashion,card_present,28.87,0.1612539239800076,review,VERY_NEW_ACCOUNT,0
1020033,2026-12-10 08:32:22,94500,2975,fuel,card_present,15.75,0.1082959322927881,review,HIGH_VELOCITY_1H,1
1020034,2026-12-10 08:33:27,109521,3635,fashion,transfer,19.58,0.0234109208289532,approve,GENERAL_RISK,0
1020035,2026-12-10 08:34:47,12518,6492,utilities,ecommerce,34.9,0.140269321000713,review,GENERAL_RISK,1
1020036,2026-12-10 08:35:28,89202,7560,utilities,card_present,2.46,0.0149228782163859,approve,GENERAL_RISK,0
1020037,2026-12-10 08:36:57,81025,7048,restaurants,ecommerce,24.15,0.0300977820424725,approve,GENERAL_RISK,0
1020038,2026-12-10 08:37:28,2943,1897,fashion,ecommerce,23.55,0.1309220003864822,review,AMOUNT_SPIKE,0
1020039,2026-12-10 08:38:35,22754,4573,restaurants,card_present,36.01,0.0890969267974614,approve,HIGH_IP_RISK,0
1020040,2026-12-10 08:39:56,29992,3597,restaurants,card_present,34.48,0.0623166935511233,approve,GENERAL_RISK,0
1020041,2026-12-10 08:40:01,50557,11643,fashion,card_present,42.05,0.0191725320963434,approve,GENERAL_RISK,1
1020042,2026-12-10 08:41:34,108521,5064,gaming,card_present,58.18,0.032872035971477,approve,AMOUNT_SPIKE,0
1020043,2026-12-10 08:42:21,101385,10544,fashion,card_present,81.34,0.0191708816524573,approve,AMOUNT_SPIKE,0
1020044,2026-12-10 08:43:05,97571,9133,fuel,card_present,7.08,0.0175556222017194,approve,GENERAL_RISK,0
1020045,2026-12-10 08:44:39,79147,469,fashion,transfer,42.75,0.0480333842619079,approve,GENERAL_RISK,0
1020046,2026-12-10 08:45:08,10624,2644,fashion,card_present,16.19,0.1493696146843411,review,HIGH_IP_RISK,1
1020047,2026-12-10 08:46:25,59413,6598,restaurants,ecommerce,39.54,0.054718812226946,approve,GENERAL_RISK,0
1020048,2026-12-10 08:47:18,69586,1254,electronics,ecommerce,47.07,0.1159931019236535,review,GENERAL_RISK,0
1020049,2026-12-10 08:48:11,92878,3162,travel,ecommerce,134.94,0.0445109768555949,approve,AMOUNT_SPIKE,0
1020050,2026-12-10 08:49:16,8470,3624,gaming,card_present,42.13,0.1203011539612418,review,GENERAL_RISK,0
1020051,2026-12-10 08:50:09,106796,5094,electronics,ecommerce,28.71,0.1455392949257333,review,HIGH_IP_RISK,1
1020052,2026-12-10 08:51:10,65976,1033,utilities,card_present,13.69,0.0603900270170406,approve,GENERAL_RISK,0
1020053,2026-12-10 08:52:36,41492,5078,restaurants,ecommerce,7.95,0.0216874459367656,approve,GENERAL_RISK,0
1020054,2026-12-10 08:53:12,88109,7094,electronics,ecommerce,34.37,0.0347190997051524,approve,GENERAL_RISK,0
1020055,2026-12-10 08:54:11,14878,5185,grocery,transfer,25.07,0.0386805910492887,approve,GENERAL_RISK,1
1020056,2026-12-10 08:55:13,21930,9203,travel,ecommerce,89.51,0.1481767296287625,review,AMOUNT_SPIKE,0
1020057,2026-12-10 08:56:32,60077,9934,fashion,card_present,16.3,0.0259435379040902,approve,GENERAL_RISK,0
1020058,2026-12-10 08:57:48,78866,8535,fashion,ecommerce,33.55,0.0423200692175862,approve,GENERAL_RISK,0
1020059,2026-12-10 08:58:23,32206,10887,fashion,card_present,10.45,0.0347684443848616,approve,GENERAL_RISK,0
1020060,2026-12-10 08:59:30,117126,5684,fuel,ecommerce,29.73,0.1213808107664921,review,HIGH_IP_RISK,0
1020061,2026-12-10 09:00:19,51930,11502,electronics,ecommerce,18.35,0.1925464263996762,review,HIGH_IP_RISK,0
1020062,2026-12-10 09:01:05,86323,3467,fuel,ecommerce,56.01,0.2667780308468385,review,AMOUNT_SPIKE,0
1020063,2026-12-10 09:02:49,57640,847,fuel,card_present,49.91,0.0472724284049081,approve,GENERAL_RISK,0
1020064,2026-12-10 09:03:03,34311,1960,fashion,card_present,7.16,0.0792414301429207,approve,GENERAL_RISK,0
1020065,2026-12-10 09:04:36,12323,10517,electronics,card_present,78.63,0.1957340244169856,review,VERY_NEW_ACCOUNT,1
1020066,2026-12-10 09:05:42,36001,2377,utilities,ecommerce,5.05,0.0552648663964426,approve,VERY_NEW_ACCOUNT,0
1020067,2026-12-10 09:06:35,91804,6717,utilities,card_present,61.2,0.1503940637193495,review,HIGH_IP_RISK,0
1020068,2026-12-10 09:07:29,78419,69,fashion,card_present,23.17,0.0406737237007527,approve,GENERAL_RISK,0
1020069,2026-12-10 09:08:03,18858,2664,fuel,card_present,109.2,0.1232160374633893,review,AMOUNT_SPIKE,0
1020070,2026-12-10 09:09:29,58403,7735,fuel,ecommerce,55.57,0.0371884615907124,approve,GENERAL_RISK,1
1020071,2026-12-10 09:10:26,74911,139,grocery,card_present,12.97,0.0555831509529081,approve,GENERAL_RISK,0
1020072,2026-12-10 09:11:03,31742,8157,restaurants,card_present,11.32,0.0432678542414033,approve,GENERAL_RISK,0
1020073,2026-12-10 09:12:44,16685,1986,grocery,ecommerce,27.92,0.0285629112956031,approve,AMOUNT_SPIKE,0
1020074,2026-12-10 09:13:31,29790,5467,fuel,ecommerce,25.41,0.1229097127936234,review,HIGH_IP_RISK,0
1020075,2026-12-10 09:14:10,102838,6370,fuel,ecommerce,53.85,0.0223891293121056,approve,GENERAL_RISK,0
1020076,2026-12-10 09:15:55,49578,6636,grocery,ecommerce,56.84,0.0516462804836503,approve,GENERAL_RISK,0
1020077,2026-12-10 09:16:53,21664,714,gaming,ecommerce,10.19,0.1643141661592522,review,GENERAL_RISK,0
1020078,2026-12-10 09:17:39,85722,5104,travel,ecommerce,10.58,0.0883789801000127,approve,GENERAL_RISK,0
1020079,2026-12-10 09:18:19,11367,8450,travel,ecommerce,20.42,0.100021546697285,review,GENERAL_RISK,0
1020080,2026-12-10 09:19:43,90236,886,restaurants,ecommerce,8.68,0.053204333494767,approve,GENERAL_RISK,0
1020081,2026-12-10 09:20:32,84283,9009,fashion,ecommerce,20.06,0.108098248104274,review,HIGH_IP_RISK,0
1020082,2026-12-10 09:21:45,52094,8957,fashion,card_present,24.49,0.0129131391353573,approve,GENERAL_RISK,0
1020083,2026-12-10 09:22:23,9739,6091,utilities,card_present,46.58,0.0582893803539989,approve,AMOUNT_SPIKE,0
1020084,2026-12-10 09:23:54,111931,10204,gaming,card_present,57.25,0.0646809200965608,approve,GENERAL_RISK,0
1020085,2026-12-10 09:24:51,26334,4882,grocery,ecommerce,35.26,0.095833580772531,approve,GENERAL_RISK,1
1020086,2026-12-10 09:25:53,63407,1897,grocery,ecommerce,5.67,0.0333671110640588,approve,GENERAL_RISK,0
1020087,2026-12-10 09:26:50,55409,3126,utilities,card_present,5.12,0.0165226615047079,approve,GENERAL_RISK,0
1020088,2026-12-10 09:27:17,33296,790,grocery,card_present,38.3,0.0368252861667887,approve,GENERAL_RISK,0
1020089,2026-12-10 09:28:06,38179,8921,restaurants,card_present,37.49,0.0205606280824811,approve,GENERAL_RISK,0
1020090,2026-12-10 09:29:36,64234,7882,utilities,card_present,23.75,0.0291701823938015,approve,GENERAL_RISK,0
1020091,2026-12-10 09:30:59,50034,3521,crypto,card_present,353.87,0.0552921671288465,approve,AMOUNT_SPIKE,0
1020092,2026-12-10 09:31:02,21911,1382,grocery,card_present,7.55,0.0684794572368058,approve,GENERAL_RISK,0
1020093,2026-12-10 09:32:48,96179,4002,utilities,card_present,7.14,0.017280006151784,approve,GENERAL_RISK,1
1020094,2026-12-10 09:33:56,72274,1314,fashion,card_present,48.17,0.0173398752508646,approve,GENERAL_RISK,0
1020095,2026-12-10 09:34:15,12417,4182,travel,transfer,282.69,0.0803072978490961,approve,AMOUNT_SPIKE,0
1020096,2026-12-10 09:35:16,79136,5986,restaurants,card_present,16.73,0.0131791690152597,approve,GENERAL_RISK,0
1020097,2026-12-10 09:36:22,85809,11889,utilities,card_present,6.06,0.0266025213959665,approve,GENERAL_RISK,0
1020098,2026-12-10 09:37:45,40940,6094,grocery,ecommerce,29.22,0.0632268922316856,approve,GENERAL_RISK,0
1020099,2026-12-10 09:38:54,37253,11494,utilities,ecommerce,25.32,0.0318227187683653,approve,GENERAL_RISK,0
1020100,2026-12-10 09:39:44,107070,5328,utilities,card_present,42.97,0.1366088526553532,review,HIGH_IP_RISK,0
1020101,2026-12-10 09:40:04,3554,9732,utilities,ecommerce,41.59,0.032753391259237,approve,GENERAL_RISK,0
1020102,2026-12-10 09:41:26,98578,5911,fashion,card_present,11.06,0.0227422257032183,approve,GENERAL_RISK,0
1020103,2026-12-10 09:42:49,84829,6998,utilities,ecommerce,15.37,0.0617171572793916,approve,GENERAL_RISK,0
1020104,2026-12-10 09:43:12,2086,5505,fuel,card_present,7.7,0.0706497308080681,approve,GENERAL_RISK,0
1020105,2026-12-10 09:44:52,112450,3283,electronics,card_present,20.04,0.0442708973762667,approve,VERY_NEW_ACCOUNT,0
1020106,2026-12-10 09:45:42,17853,2439,gaming,card_present,17.91,0.0421904969627238,approve,GENERAL_RISK,0
1020107,2026-12-10 09:46:56,79746,5060,fuel,card_present,16.44,0.0761044451877824,approve,GENERAL_RISK,0
1020108,2026-12-10 09:47:13,113810,11843,pharmacy,ecommerce,11.15,0.0216510118508275,approve,GENERAL_RISK,0
1020109,2026-12-10 09:48:55,43604,7267,grocery,card_present,25.59,0.014731924569426,approve,GENERAL_RISK,0
1020110,2026-12-10 09:49:10,89313,6216,electronics,ecommerce,24.28,0.0635706221025327,approve,GENERAL_RISK,0
1020111,2026-12-10 09:50:54,47226,532,electronics,ecommerce,21.61,0.0716275692362076,approve,GENERAL_RISK,0
1020112,2026-12-10 09:51:20,90655,11174,travel,card_present,8.55,0.0362567025900222,approve,GENERAL_RISK,0
1020113,2026-12-10 09:52:04,76830,2885,fuel,ecommerce,31.28,0.0606028371870955,approve,GENERAL_RISK,0
1020114,2026-12-10 09:53:03,36353,6571,grocery,transfer,23.4,0.0340913860303029,approve,GENERAL_RISK,0
1020115,2026-12-10 09:54:15,25778,11217,grocery,ecommerce,7.24,0.1674804125861178,review,HIGH_IP_RISK,0
1020116,2026-12-10 09:55:56,32406,8148,restaurants,card_present,6.27,0.0423737962154854,approve,GENERAL_RISK,0
1020117,2026-12-10 09:56:22,7006,9737,electronics,card_present,26.3,0.0683043210773124,approve,GENERAL_RISK,0
1020118,2026-12-10 09:57:40,82554,1878,electronics,ecommerce,35.15,0.0602105929679894,approve,GENERAL_RISK,0
1020119,2026-12-10 09:58:49,108248,1010,fuel,ecommerce,8.7,0.0257025814922179,approve,GENERAL_RISK,0
1020120,2026-12-10 09:59:12,109493,9569,fuel,card_present,47.42,0.0333565201450027,approve,AMOUNT_SPIKE,0
1020121,2026-12-10 10:00:24,26898,8329,fashion,ecommerce,25.62,0.0914419639574534,approve,GENERAL_RISK,0
1020122,2026-12-10 10:01:47,12762,7082,grocery,card_present,21.84,0.0737915720817996,approve,HIGH_IP_RISK,1
1020123,2026-12-10 10:02:28,19757,7144,restaurants,card_present,11.99,0.0409617399952794,approve,GENERAL_RISK,0
1020124,2026-12-10 10:03:30,35582,11319,restaurants,card_present,167.89,0.0579727529342471,approve,GENERAL_RISK,0
1020125,2026-12-10 10:04:53,111594,5981,travel,transfer,65.89,0.0184906713171886,approve,GENERAL_RISK,0
1020126,2026-12-10 10:05:43,10658,202,gaming,card_present,36.27,0.0145384579793795,approve,GENERAL_RISK,0
1020127,2026-12-10 10:06:03,118499,8001,grocery,transfer,14.67,0.0174057342755377,approve,GENERAL_RISK,0
1020128,2026-12-10 10:07:33,117278,7257,gaming,card_present,40.97,0.0276059142752582,approve,GENERAL_RISK,0
1020129,2026-12-10 10:08:46,30442,5322,restaurants,card_present,145.82,0.0657212725428161,approve,GENERAL_RISK,0
1020130,2026-12-10 10:09:29,59053,6071,fashion,ecommerce,28.66,0.1039715086573909,review,HIGH_IP_RISK,0
1020131,2026-12-10 10:10:12,58170,9615,fuel,ecommerce,9.15,0.1212100030294819,review,HIGH_IP_RISK,1
1020132,2026-12-10 10:11:19,54560,1781,fashion,ecommerce,21.12,0.0347401924363554,approve,GENERAL_RISK,0
1020133,2026-12-10 10:12:37,14702,11963,fuel,ecommerce,48.07,0.0546775185465073,approve,GENERAL_RISK,0
1020134,2026-12-10 10:13:28,90576,5765,electronics,card_present,27.45,0.1037853395700967,review,GENERAL_RISK,0
1020135,2026-12-10 10:14:40,51070,3162,grocery,card_present,38.04,0.0570558366714461,approve,GENERAL_RISK,0
1020136,2026-12-10 10:15:29,56005,10418,restaurants,transfer,123.54,0.0947356244159275,approve,AMOUNT_SPIKE,0
1020137,2026-12-10 10:16:07,94030,7049,grocery,ecommerce,41.42,0.0295373745090906,approve,GENERAL_RISK,0
1020138,2026-12-10 10:17:44,12479,11346,gaming,ecommerce,31.28,0.1940909255974288,review,GENERAL_RISK,0
1020139,2026-12-10 10:18:52,77884,8359,utilities,card_present,12.26,0.068564134643456,approve,GENERAL_RISK,0
1020140,2026-12-10 10:19:20,5594,3278,grocery,card_present,19.42,0.067217137162469,approve,HIGH_IP_RISK,0
1020141,2026-12-10 10:20:31,84939,5762,restaurants,card_present,65.77,0.0233520825049712,approve,AMOUNT_SPIKE,0
1020142,2026-12-10 10:21:23,42454,4223,gaming,card_present,10.0,0.0295680152234264,approve,GENERAL_RISK,0
1020143,2026-12-10 10:22:28,5718,7557,restaurants,card_present,34.38,0.0307870922404108,approve,GENERAL_RISK,0
1020144,2026-12-10 10:23:24,104261,9289,fashion,card_present,10.14,0.1088439270739419,review,HIGH_IP_RISK,0
1020145,2026-12-10 10:24:15,13407,8263,grocery,card_present,41.32,0.0314658674294079,approve,GENERAL_RISK,0
1020146,2026-12-10 10:25:30,59477,3696,electronics,ecommerce,27.39,0.2277011602953565,review,HIGH_IP_RISK,0
1020147,2026-12-10 10:26:07,69166,5582,restaurants,transfer,30.01,0.0411365128301449,approve,GENERAL_RISK,0
1020148,2026-12-10 10:27:19,112462,3089,restaurants,ecommerce,15.48,0.0573414093179938,approve,GENERAL_RISK,0
1020149,2026-12-10 10:28:44,106604,4915,gaming,ecommerce,43.72,0.0430777915744997,approve,GENERAL_RISK,0
1020150,2026-12-10 10:29:45,10291,4118,fashion,ecommerce,8.5,0.0836562405338764,approve,HIGH_IP_RISK,0
1020151,2026-12-10 10:30:34,119766,8081,fashion,ecommerce,79.08,0.3039604631640711,review,AMOUNT_SPIKE,1
1020152,2026-12-10 10:31:34,12916,7786,pharmacy,card_present,13.72,0.0528188396318332,approve,GENERAL_RISK,0
1020153,2026-12-10 10:32:48,35203,9882,grocery,card_present,14.75,0.034896429240791,approve,GENERAL_RISK,0
1020154,2026-12-10 10:33:53,40188,5703,grocery,card_present,55.91,0.1443525713613711,review,HIGH_IP_RISK,0
1020155,2026-12-10 10:34:04,88602,4377,electronics,card_present,20.95,0.0343257050000028,approve,GENERAL_RISK,0
1020156,2026-12-10 10:35:37,31244,1768,restaurants,card_present,10.34,0.0177837507310335,approve,GENERAL_RISK,0
1020157,2026-12-10 10:36:58,46098,8214,grocery,ecommerce,7.96,0.0833013368314768,approve,GENERAL_RISK,0
1020158,2026-12-10 10:37:02,21688,7779,grocery,ecommerce,20.82,0.0405302233327119,approve,GENERAL_RISK,0
1020159,2026-12-10 10:38:36,872,3176,utilities,card_present,15.18,0.0260509628212481,approve,GENERAL_RISK,0
1020160,2026-12-10 10:39:53,73051,3378,electronics,card_present,39.83,0.1570833037205086,review,VERY_NEW_ACCOUNT,1
1020161,2026-12-10 10:40:50,1392,4701,electronics,card_present,25.68,0.0545471990061156,approve,GENERAL_RISK,0
1020162,2026-12-10 10:41:02,97751,5907,grocery,card_present,17.14,0.0634875226243075,approve,GENERAL_RISK,0
1020163,2026-12-10 10:42:42,60446,3578,electronics,card_present,104.2,0.0313498979846878,approve,GENERAL_RISK,0
1020164,2026-12-10 10:43:44,63805,8000,gaming,ecommerce,37.82,0.2063668737704937,review,GENERAL_RISK,0
1020165,2026-12-10 10:44:24,65798,1089,gaming,transfer,47.62,0.0454818636463948,approve,GENERAL_RISK,0
1020166,2026-12-10 10:45:56,111425,6670,utilities,ecommerce,17.96,0.1013135365796962,review,GENERAL_RISK,0
1020167,2026-12-10 10:46:15,98845,6423,utilities,ecommerce,29.49,0.0489657034576453,approve,GENERAL_RISK,0
1020168,2026-12-10 10:47:00,67340,9002,electronics,ecommerce,89.79,0.2128038876431801,review,AMOUNT_SPIKE,0
1020169,2026-12-10 10:48:00,103774,4784,utilities,transfer,40.32,0.016692508132009,approve,AMOUNT_SPIKE,0
1020170,2026-12-10 10:49:16,12500,294,fuel,ecommerce,8.23,0.094812097613281,approve,GENERAL_RISK,0
1020171,2026-12-10 10:50:01,5126,10372,gaming,card_present,45.16,0.1267002580392053,review,GENERAL_RISK,0
1020172,2026-12-10 10:51:05,79033,5684,grocery,card_present,45.21,0.0349356771024917,approve,GENERAL_RISK,0
1020173,2026-12-10 10:52:58,54387,7630,restaurants,ecommerce,12.35,0.1033425755832096,review,GENERAL_RISK,0
1020174,2026-12-10 10:53:08,55480,6826,grocery,transfer,64.92,0.0186911747737201,approve,GENERAL_RISK,0
1020175,2026-12-10 10:54:37,20457,5603,grocery,card_present,17.04,0.0284277032407606,approve,GENERAL_RISK,0
1020176,2026-12-10 10:55:07,48477,2904,utilities,ecommerce,6.88,0.0599866760905031,approve,GENERAL_RISK,0
1020177,2026-12-10 10:56:17,104671,9416,fashion,card_present,80.25,0.0267265371587623,approve,GENERAL_RISK,0
1020178,2026-12-10 10:57:00,66077,4795,gaming,card_present,150.29,0.083736022919218,approve,AMOUNT_SPIKE,0
1020179,2026-12-10 10:58:38,26960,1280,utilities,ecommerce,9.69,0.0933047636936144,approve,GENERAL_RISK,0
1020180,2026-12-10 10:59:30,56670,9360,electronics,card_present,11.84,0.0761738413806723,approve,GENERAL_RISK,0
1020181,2026-12-10 11:00:25,112524,2829,crypto,transfer,134.42,0.0468821322525773,approve,AMOUNT_SPIKE,0
1020182,2026-12-10 11:01:54,87648,8445,utilities,card_present,87.42,0.0352540213753331,approve,GENERAL_RISK,0
1020183,2026-12-10 11:02:15,44505,7382,gaming,ecommerce,2.14,0.0582622601090349,approve,GENERAL_RISK,0
1020184,2026-12-10 11:03:44,114867,9501,travel,ecommerce,29.03,0.0296949020824037,approve,GENERAL_RISK,0
1020185,2026-12-10 11:04:22,57434,8189,restaurants,ecommerce,42.93,0.1321287047247542,review,GENERAL_RISK,0
1020186,2026-12-10 11:05:49,962,9246,fuel,card_present,60.44,0.0317120099155782,approve,AMOUNT_SPIKE,0
1020187,2026-12-10 11:06:16,3270,10114,utilities,ecommerce,83.86,0.0628786141564982,approve,GENERAL_RISK,0
1020188,2026-12-10 11:07:54,68799,526,utilities,card_present,72.83,0.1130557007639192,review,GENERAL_RISK,1
1020189,2026-12-10 11:08:13,70430,9545,restaurants,card_present,7.87,0.0225035451563353,approve,GENERAL_RISK,0
1020190,2026-12-10 11:09:12,14585,11223,utilities,transfer,6.55,0.0744719826376194,approve,HIGH_IP_RISK,0
1020191,2026-12-10 11:10:03,95638,2706,restaurants,card_present,16.94,0.1346739172374215,review,GENERAL_RISK,0
1020192,2026-12-10 11:11:52,117948,10539,fashion,ecommerce,84.32,0.1008026038062621,review,AMOUNT_SPIKE,0
1020193,2026-12-10 11:12:50,88410,8451,utilities,ecommerce,305.36,0.1497427585176312,review,AMOUNT_SPIKE,1
1020194,2026-12-10 11:13:45,18365,3209,utilities,ecommerce,11.36,0.0514863357635979,approve,GENERAL_RISK,0
1020195,2026-12-10 11:14:38,85441,583,travel,card_present,33.36,0.1162879223550103,review,HIGH_IP_RISK,0
1020196,2026-12-10 11:15:41,36534,3781,grocery,ecommerce,91.16,0.0479672018925792,approve,AMOUNT_SPIKE,0
1020197,2026-12-10 11:16:11,14922,3603,grocery,card_present,28.76,0.0149682428959037,approve,GENERAL_RISK,0
1020198,2026-12-10 11:17:30,40648,5671,fuel,card_present,28.95,0.022384610786241,approve,GENERAL_RISK,0
1020199,2026-12-10 11:18:57,109640,5290,fuel,transfer,8.55,0.0161432375395718,approve,GENERAL_RISK,0
1020200,2026-12-10 11:19:06,108973,6785,utilities,ecommerce,19.57,0.0585783779021123,approve,GENERAL_RISK,0
1020201,2026-12-10 11:20:48,5999,6112,fuel,card_present,8.36,0.0252155075494215,approve,GENERAL_RISK,0
1020202,2026-12-10 11:21:18,83008,4334,fuel,ecommerce,2.68,0.0425997890303591,approve,GENERAL_RISK,0
1020203,2026-12-10 11:22:25,83326,27,utilities,card_present,12.02,0.0282394476927538,approve,GENERAL_RISK,0
1020204,2026-12-10 11:23:15,91247,10725,crypto,ecommerce,121.2,0.0942240295163924,approve,AMOUNT_SPIKE,0
1020205,2026-12-10 11:24:41,74941,10375,restaurants,ecommerce,25.98,0.1143972391873417,review,GENERAL_RISK,1
1020206,2026-12-10 11:25:13,83304,7239,electronics,transfer,79.82,0.032233243709815,approve,AMOUNT_SPIKE,0
1020207,2026-12-10 11:26:03,50136,2529,utilities,ecommerce,14.25,0.0675985392634734,approve,GENERAL_RISK,0
1020208,2026-12-10 11:27:21,36227,262,grocery,ecommerce,73.63,0.130448205015113,review,AMOUNT_SPIKE,0
1020209,2026-12-10 11:28:54,25516,7877,restaurants,ecommerce,10.39,0.0827921985474374,approve,GENERAL_RISK,0
1020210,2026-12-10 11:29:28,81014,11852,travel,card_present,32.47,0.0683616894017705,approve,GENERAL_RISK,0
1020211,2026-12-10 11:30:22,89500,8719,electronics,ecommerce,30.56,0.1205661042340234,review,GENERAL_RISK,0
1020212,2026-12-10 11:31:41,12679,24,gaming,card_present,5.89,0.1308923978254969,review,HIGH_IP_RISK,0
1020213,2026-12-10 11:32:09,16278,7218,fashion,ecommerce,23.03,0.0115304628287397,approve,GENERAL_RISK,0
1020214,2026-12-10 11:33:41,25835,6049,travel,ecommerce,46.15,0.0378064758383432,approve,GENERAL_RISK,0
1020215,2026-12-10 11:34:24,67821,9090,electronics,ecommerce,45.41,0.0630573965062325,approve,GENERAL_RISK,0
1020216,2026-12-10 11:35:31,76223,1996,fashion,ecommerce,17.1,0.0396145340565893,approve,GENERAL_RISK,0
1020217,2026-12-10 11:36:23,38002,651,electronics,ecommerce,30.67,0.1146688046433828,review,GENERAL_RISK,0
1020218,2026-12-10 11:37:28,20789,5892,gaming,card_present,120.46,0.0912346540573122,approve,AMOUNT_SPIKE,0
1020219,2026-12-10 11:38:28,86869,6091,electronics,ecommerce,91.63,0.0968691892473924,approve,AMOUNT_SPIKE,0
1020220,2026-12-10 11:39:10,42923,387,utilities,card_present,16.74,0.1341199116358362,review,HIGH_IP_RISK,1
1020221,2026-12-10 11:40:52,18311,795,gaming,card_present,56.61,0.1207160324704701,review,AMOUNT_SPIKE,1
1020222,2026-12-10 11:41:21,80938,5108,travel,ecommerce,68.94,0.0252428774125318,approve,AMOUNT_SPIKE,0
1020223,2026-12-10 11:42:59,28380,9183,gaming,card_present,23.71,0.0368122627476109,approve,GENERAL_RISK,0
1020224,2026-12-10 11:43:33,35498,116,gaming,card_present,6.11,0.0600741051286619,approve,GENERAL_RISK,0
1020225,2026-12-10 11:44:16,110805,1226,grocery,ecommerce,46.28,0.3119709748544198,review,VERY_NEW_ACCOUNT,1
1020226,2026-12-10 11:45:14,60472,5020,grocery,ecommerce,7.43,0.0526022934024948,approve,GENERAL_RISK,0
1020227,2026-12-10 11:46:58,53170,9106,gaming,ecommerce,21.64,0.0373003413616423,approve,GENERAL_RISK,0
1020228,2026-12-10 11:47:25,49949,1692,fuel,ecommerce,14.15,0.0798537450296556,approve,GENERAL_RISK,0
1020229,2026-12-10 11:48:58,73686,11411,electronics,card_present,40.43,0.03084467910464,approve,GENERAL_RISK,0
