date,transactions,fraud_rate,approved,reviewed,declined,caught_fraud,missed_fraud,false_declines
2027-02-27,1440,0.08055555555555556,998,442,0,79,37,0
2027-02-28,1440,0.075,985,455,0,67,41,0
2027-03-01,1440,0.07152777777777777,1097,343,0,52,51,0
2027-03-02,1440,0.07847222222222222,1091,349,0,66,47,0
2027-03-03,1440,0.07291666666666667,1117,323,0,48,57,0
2027-03-04,1440,0.07083333333333333,1080,360,0,63,39,0
2027-03-05,1440,0.07013888888888889,1071,369,0,61,40,0
2027-03-06,1440,0.09236111111111112,1024,416,0,79,54,0
2027-03-07,1440,0.08541666666666667,984,456,0,81,42,0
2027-03-08,1440,0.06944444444444445,1066,373,1,60,40,0
2027-03-09,1440,0.07083333333333333,1096,344,0,55,47,0
2027-03-10,1440,0.07013888888888889,1088,352,0,57,44,0
2027-03-11,1440,0.06458333333333334,1094,346,0,52,41,0
2027-03-12,1440,0.08125,1106,334,0,61,56,0
2027-03-13,1440,0.07916666666666666,1043,397,0,73,41,0
2027-03-14,1440,0.09166666666666666,1019,421,0,82,50,0
2027-03-15,1440,0.07152777777777777,1082,358,0,64,39,0
2027-03-16,1440,0.07569444444444444,1082,358,0,56,53,0
2027-03-17,1440,0.06736111111111111,1102,338,0,41,56,0
2027-03-18,1440,0.06736111111111111,1073,367,0,53,44,0
2027-03-19,1440,0.075,1104,336,0,66,42,0
2027-03-20,1440,0.07222222222222222,1025,415,0,67,37,0
2027-03-21,1440,0.0798611111111111,1017,423,0,71,44,0
2027-03-22,1440,0.07291666666666667,1088,352,0,50,55,0
2027-03-23,1440,0.07569444444444444,1091,349,0,53,56,0
2027-03-24,1440,0.06805555555555555,1078,362,0,59,39,0
2027-03-25,1440,0.07430555555555556,1074,366,0,57,50,0
2027-03-26,1440,0.07083333333333333,1104,336,0,55,47,0
2027-03-27,1440,0.09305555555555556,1017,423,0,89,45,0
2027-03-28,1440,0.08611111111111111,1011,429,0,78,46,0
2027-03-29,1440,0.06180555555555556,1077,363,0,49,40,0
2027-03-30,1440,0.09375,1072,368,0,73,62,0
2027-03-31,1440,0.07708333333333334,1079,361,0,53,58,0
2027-04-01,1440,0.06458333333333334,1096,344,0,48,45,0
2027-04-02,1440,0.07083333333333333,1102,338,0,53,49,0
2027-04-03,1440,0.07847222222222222,1007,433,0,59,54,0
2027-04-04,1440,0.09444444444444444,1003,437,0,80,56,0
2027-04-05,1440,0.09097222222222222,1040,400,0,66,65,0
2027-04-06,1440,0.075,1080,360,0,62,46,0
2027-04-07,1440,0.07708333333333334,1100,340,0,51,60,0
2027-04-08,1440,0.07847222222222222,1071,369,0,62,51,0
2027-04-09,1440,0.06944444444444445,1111,329,0,46,54,0
2027-04-10,1440,0.08958333333333333,1008,432,0,77,52,0
2027-04-11,1440,0.07777777777777778,1003,437,0,71,41,0
2027-04-12,1440,0.07430555555555556,1101,339,0,63,44,0
2027-04-13,1440,0.08541666666666667,1071,369,0,70,53,0
2027-04-14,480,0.0875,338,142,0,27,15,0
